16,Станислав,"Запрос новостей",,,
15,Станислав,"Запрос уточнения","Тренировочное собеседование",159,"Уточнить время"
14,Сергей,"Отклик на задачу","Тренировочное собеседование",160,
13,Мария,"Запрос новостей",,,
12,Мария,"Запрос новостей",,,
11,Сергей,"Запрос уточнения","Тренировочное собеседование",160,"Уточнить время"
10,Владислав,"Запрос новостей",,,
9,Владимир,"Запрос новостей",,,
8,Петр,"Отклик на задачу","Урок русского математики",161,
7,Сергей,"Запрос новостей",,,
6,Николай,"Отклик на задачу","Ремонт водопроводного крана",162,
5,Алевтина,"Запрос новостей",,,
1,Николай,"Запрос уточнения","Ремонт водопроводного крана",162,"Уточнить время"
2,Петр,"Запрос уточнения","Урок русского математики",161,"Уточнить время"
3,Антон,"Запрос новостей",,,
4,Николай,"Запрос новостей",,,
