1,Николай,Запрос уточнения,Ремонт водопроводного крана,162,Уточнить время
2,Петр,Запрос уточнения,Урок русского математики,161,Уточнить время
3,Антон,Запрос новостей,,,
4,Николай,Запрос новостей,,,
5,Алевтина,Запрос новостей,,,
6,Николай,Отклик на задачу,Ремонт водопроводного крана,162,
7,Сергей,Запрос новостей,,,
8,Петр,Отклик на задачу,Урок русского математики,161,
9,Владимир,Запрос новостей,,,
10,Владислав,Запрос новостей,,,
11,Сергей,Запрос уточнения,Тренировочное собеседование,160,Уточнить время
12,Мария,Запрос новостей,,,
13,Мария,Запрос новостей,,,
14,Сергей,Отклик на задачу,Тренировочное собеседование,160,
15,Станислав,Запрос уточнения,Тренировочное собеседование,159,Уточнить время
16,Станислав,Запрос новостей,,,
17,Павел,Запрос новостей,,,
18,Ольга,Запрос уточнения,Урок русского языка,1,Уточнить время
19,Ирина,Запрос уточнения,Ремонт ручек окна,157,Есть ли дома инструмент
20,Ирина,Запрос уточнения,Ремонт ручек окна,1,Уточнить время
21,Станислав,Отклик на задачу,Тренировочное собеседование,159,
22,Ольга,Отклик на задачу,Ремонт ручек окна,157,
23,Борис,Запрос уточнения,Ремонт водопроводного крана,158,Уточнить время
24,Татьяна,Запрос уточнения,Урок русского математики,155,Уточнить время
25,Мария,Запрос новостей,,,
26,Мария,Запрос новостей,,,
27,Борис,Отклик на задачу,Ремонт водопроводного крана,156,
28,Татьяна,Отклик на задачу,Урок русского математики,155,
28,Сергей,Запрос уточнения,Тренировочное собеседование,154,Уточнить время
29,Петр,Запрос уточнения,Тренировочное собеседование,153,Уточнить время
8,Петр,Запрос уточнения,Тренировочное собеседование,153,Как быть с проверкой тестовых заданий
9,Алевтина,Запрос новостей,,,
10,Владислав,Запрос новостей,,,
11,Петр,Отклик на задачу,Тренировочное собеседование,153,
12,Петр ,Запрос уточнения,Урок русского языка,152,Уточнить время
13,Сергей,Запрос уточнения,Ремонт ручек окна,151,Уточнить время
14,Мария,Запрос новостей,,,
1,Николай,Запрос новостей,,,
